,currency,year,month,buying,selling,CPI,inflationRate
0,DOLLAR,2009,1,141.75650000000002,142.75650000000002,90.2,14.0
1,DOLLAR,2009,2,144.67750000000004,145.67750000000004,90.8,14.6
2,DOLLAR,2009,3,145.30000000000004,146.30000000000004,91.4,14.4
3,DOLLAR,2009,4,145.3,146.3,91.9,13.3
4,DOLLAR,2009,5,145.37894736842105,146.37894736842105,93.6,13.2
5,DOLLAR,2009,6,145.73499999999996,146.73499999999996,95.3,11.2
6,DOLLAR,2009,7,146.14130434782604,147.14130434782604,97.3,11.1
7,DOLLAR,2009,9,150.10949999999997,151.10949999999997,98.4,11.0
8,DOLLAR,2009,10,146.8790476190477,147.8790476190477,98.9,10.4
9,DOLLAR,2009,11,148.5911111111111,149.5911111111111,99.4,11.6
10,DOLLAR,2009,12,148.6,149.6,100.0,12.4
11,DOLLAR,2010,1,147.32199999999997,148.32199999999997,102.2,13.9
12,DOLLAR,2010,2,147.73736842105262,148.73736842105262,103.1,14.4
13,DOLLAR,2010,3,147.3459090909091,148.3459090909091,105.0,15.6
14,DOLLAR,2010,4,147.39800000000002,148.39800000000002,104.9,14.8
15,DOLLAR,2010,5,147.815,148.82,105.7,15.0
16,DOLLAR,2010,6,147.72318181818184,148.72318181818184,105.7,12.9
17,DOLLAR,2010,7,147.60363636363635,148.60363636363635,108.8,14.1
18,DOLLAR,2010,8,147.7740909090909,148.7740909090909,109.9,13.0
19,DOLLAR,2010,9,148.53999999999996,149.53999999999996,111.9,13.7
20,DOLLAR,2010,10,148.718,149.66799999999998,112.4,13.6
21,DOLLAR,2010,11,147.7425,148.7425,112.7,13.4
22,DOLLAR,2010,12,148.05904761904762,149.05904761904762,112.8,12.8
23,DOLLAR,2011,1,149.0495,149.99949999999998,114.2,11.8
24,DOLLAR,2011,2,149.43666666666664,150.43666666666664,115.6,12.1
25,DOLLAR,2011,3,149.99739130434781,150.99739130434781,116.7,11.1
26,DOLLAR,2011,4,151.39611111111108,152.39611111111108,118.3,12.8
27,DOLLAR,2011,5,152.27611111111113,153.27611111111113,117.7,11.3
28,DOLLAR,2011,6,151.97318181818184,152.97318181818184,118.7,12.4
29,DOLLAR,2011,7,149.36,150.36,119.9,10.2
30,DOLLAR,2011,8,150.20333333333332,151.20333333333332,120.3,9.4
31,DOLLAR,2011,9,152.74499999999998,153.74499999999998,122.3,9.3
32,DOLLAR,2011,10,150.6895,151.7395,124.0,10.3
33,DOLLAR,2011,11,153.16400000000002,154.16400000000002,124.6,10.5
34,DOLLAR,2011,12,155.641,156.641,124.7,10.5
35,DOLLAR,2012,1,155.8185714285714,156.8185714285714,126.0,10.3
36,DOLLAR,2012,2,155.29999999999995,156.29999999999995,130.2,12.6
37,DOLLAR,2012,3,155.0217391304348,156.0217391304348,130.5,11.9
38,DOLLAR,2012,4,154.76666666666668,155.76666666666668,132.6,12.1
39,DOLLAR,2012,5,154.71749999999997,155.71749999999997,132.8,12.9
40,DOLLAR,2012,6,154.88142857142861,155.88142857142861,133.8,12.7
41,DOLLAR,2012,7,154.87545454545457,155.87545454545457,135.3,12.9
42,DOLLAR,2012,8,154.821052631579,155.81894736842108,135.7,12.8
43,DOLLAR,2012,8,154.86,155.86,136.6,11.7
44,DOLLAR,2012,9,154.78500000000003,155.78500000000003,138.0,11.3
45,DOLLAR,2012,10,154.75799999999998,155.75799999999998,139.2,11.7
46,DOLLAR,2012,11,154.75047619047615,155.75047619047615,140.0,12.3
47,DOLLAR,2012,12,154.7663157894737,155.7663157894737,141.1,12.0
48,DOLLAR,2013,1,154.74333333333334,155.74380952380955,141.9,9.0
49,DOLLAR,2013,2,154.74272727272725,155.74272727272725,143.0,9.5
50,DOLLAR,2013,3,154.7536842105263,155.7536842105263,144.0,8.6
51,DOLLAR,2013,4,154.747619047619,155.747619047619,144.8,9.1
52,DOLLAR,2013,5,154.74349999999998,155.74349999999998,145.8,9.0
53,DOLLAR,2013,6,154.7490476190476,155.7490476190476,146.6,8.4
54,DOLLAR,2013,7,154.75913043478266,155.75913043478266,147.4,8.7
55,DOLLAR,2013,8,154.756,155.756,147.8,8.2
56,DOLLAR,2013,9,154.75809523809528,155.75809523809528,148.9,8.0
57,DOLLAR,2013,10,186.7184285714286,187.7184285714286,150.0,7.8
58,DOLLAR,2013,11,154.71149999999997,155.71149999999997,151.1,7.9
59,DOLLAR,2013,12,154.71699999999998,155.71699999999998,152.3,8.0
60,DOLLAR,2014,1,154.73428571428568,155.73428571428568,153.3,8.0
61,DOLLAR,2014,2,154.75,155.75,154.0,7.7
62,DOLLAR,2014,3,154.74333333333334,155.74333333333334,155.2,7.8
63,DOLLAR,2014,4,154.73449999999997,155.73449999999997,156.2,7.9
64,DOLLAR,2014,5,154.73,155.73,157.4,8.0
65,DOLLAR,2014,6,154.73,155.73,158.6,8.2
66,DOLLAR,2014,7,154.73,155.73,159.7,8.3
67,DOLLAR,2014,8,154.73,155.73,160.4,8.5
68,DOLLAR,2014,9,154.74347826086955,155.74347826086955,161.3,8.3
69,DOLLAR,2014,10,154.75799999999998,155.75799999999998,162.1,8.1
70,DOLLAR,2014,11,157.19222222222226,158.19222222222226,163.1,7.9
71,DOLLAR,2014,12,166.85714285714286,167.85714285714286,164.4,8.0
72,DOLLAR,2015,1,168.3181818181818,169.3181818181818,165.8,8.2
73,DOLLAR,2015,2,178.21052631578948,179.21052631578948,166.9,8.4
74,DOLLAR,2015,3,196.0727272727273,197.0727272727273,168.4,8.5
75,DOLLAR,2015,4,196.0,197.0,169.7,8.7
76,DOLLAR,2015,5,201.42000000000002,202.42000000000002,171.6,9.0
77,DOLLAR,2015,6,195.91363636363633,196.91590909090908,173.2,9.2
78,DOLLAR,2015,7,195.9714285714285,196.9714285714285,174.4,9.2
79,DOLLAR,2015,8,196.0,197.0,175.4,9.3
80,DOLLAR,2015,9,195.9975,196.9975,176.5,9.4
81,DOLLAR,2015,10,195.9881818181818,196.9881818181818,177.2,9.3
82,DOLLAR,2015,11,195.99200000000002,196.99200000000002,178.4,9.37
83,DOLLAR,2015,12,195.98649999999998,196.98649999999998,180.1,9.55
84,DOLLAR,2016,1,196.0,197.0,181.7,9.62
85,DOLLAR,2016,2,194.125,195.125,185.9,11.38
86,DOLLAR,2016,3,196.0,197.0,189.9,12.77
87,DOLLAR,2016,4,196.0,197.0,193.0,13.72
88,DOLLAR,2016,5,201.1642857142857,202.1642857142857,198.3,15.58
89,DOLLAR,2016,6,230.76136363636363,231.76136363636363,201.7,16.48
90,DOLLAR,2016,7,293.57222222222225,294.57222222222225,204.2,17.13
91,DOLLAR,2016,8,308.7304347826087,309.7304347826087,206.3,17.61
92,DOLLAR,2016,9,304.225,305.225,208.0,17.85
93,DOLLAR,2016,10,304.2125,305.2125,209.7,18.33
94,DOLLAR,2016,11,304.1818181818182,305.1818181818182,211.3,18.48
95,DOLLAR,2016,12,304.2236842105263,305.2236842105263,213.6,18.55
96,DOLLAR,2017,1,304.20238095238096,305.20238095238096,215.7,18.72
97,DOLLAR,2017,2,304.3125,305.3125,218.9,17.78
98,DOLLAR,2017,3,305.4021739130435,306.4021739130435,222.7,17.26
99,DOLLAR,2017,4,305.05277777777775,306.05277777777775,226.3,17.24
100,DOLLAR,2017,5,304.55,305.55,230.5,16.25
101,DOLLAR,2017,6,304.7125,305.7125,234.2,16.1
102,DOLLAR,2017,7,304.8619047619047,305.8619047619047,237.0,16.05
103,DOLLAR,2017,8,304.66739130434786,305.66739130434786,239.3,16.01
104,DOLLAR,2017,9,304.88684210526316,305.88684210526316,241.2,15.98
105,DOLLAR,2017,10,304.6238095238095,305.6238095238095,243.0,15.91
106,DOLLAR,2017,11,304.90952380952376,305.90952380952376,244.9,15.9
107,DOLLAR,2017,12,305.31388888888887,306.31388888888887,246.4,15.37
108,DOLLAR,2018,1,304.77727272727265,305.77727272727265,248.4,15.13
109,DOLLAR,2018,2,304.89285714285717,305.89285714285717,250.3,14.33
110,DOLLAR,2018,3,304.7325000000001,305.73750000000007,252.4,13.34
111,DOLLAR,2018,4,304.61,305.61,254.5,12.48
112,DOLLAR,2018,5,304.87954545454545,305.87954545454545,257.3,11.61
113,DOLLAR,2018,6,304.87105263157895,305.87105263157895,260.5,11.23
114,DOLLAR,2018,7,304.8068181818182,305.8068181818182,263.4,11.14
115,DOLLAR,2018,8,305.0659090909091,306.0659090909091,266.2,11.23
116,DOLLAR,2018,9,305.27368421052626,306.27368421052626,268.4,11.28
117,DOLLAR,2018,10,305.4954545454545,306.4954545454545,270.4,11.26
118,DOLLAR,2018,11,305.67045454545456,306.67045454545456,272.6,11.28
119,DOLLAR,2018,12,305.92105263157896,306.92105263157896,274.6,11.44
120,DOLLAR,2019,1,305.85217391304343,306.85217391304343,276.6,11.37
121,DOLLAR,2019,2,305.77,306.77,278.6,11.31
122,DOLLAR,2019,3,305.92380952380944,306.92380952380944,280.8,11.25
123,DOLLAR,2019,4,305.9631578947368,306.9631578947368,283.5,11.37
124,DOLLAR,2019,5,305.94736842105266,306.94736842105266,286.6,11.4
125,DOLLAR,2019,6,305.9470588235294,306.9470588235294,289.7,11.22
126,DOLLAR,2019,7,305.93333333333334,306.93333333333334,292.6,11.08
127,DOLLAR,2019,8,308.64,309.64,295.5,11.02
128,DOLLAR,2019,9,305.9174999999999,306.9174999999999,298.6,11.24
129,DOLLAR,2019,10,305.96190476190475,306.96190476190475,301.8,11.61
130,DOLLAR,2019,11,305.94749999999993,306.94749999999993,304.9,11.85
131,DOLLAR,2019,12,305.95,306.95,307.5,11.98
132,DOLLAR,2020,1,305.9575,306.9575,310.2,12.13
133,DOLLAR,2020,2,305.955,306.955,312.6,12.2
134,DOLLAR,2020,3,326.56190476190477,327.56190476190477,315.2,12.26
135,DOLLAR,2020,4,360.0,361.0,318.4,12.34
136,DOLLAR,2020,5,361.0,362.0,322.2,12.4
137,DOLLAR,2020,6,360.0,361.0,326.1,12.56
138,DOLLAR,2020,7,360.0,361.0,330.1,12.82
139,DOLLAR,2020,8,377.27272727272725,378.27272727272725,334.6,13.22
140,DOLLAR,2020,9,379.0,380.0,339.5,13.71
141,DOLLAR,2020,10,379.05263157894734,380.05263157894734,344.7,14.23
142,DOLLAR,2020,11,380.37347826086955,381.37347826086955,350.3,14.89
143,DOLLAR,2020,12,379.0,380.0,355.9,15.75
144,DOLLAR,2021,1,380.698,381.698,361.2,16.47
145,DOLLAR,2021,2,379.0,380.0,366.8,17.33
146,DOLLAR,2021,3,379.0,380.0,372.5,18.17
147,DOLLAR,2021,4,379.0,380.0,376.1,18.12
148,DOLLAR,2021,5,398.25,399.25,379.9,17.93
149,DOLLAR,2021,6,409.164761904762,410.164761904762,384.0,17.75
150,DOLLAR,2021,7,409.62666666666667,410.6742857142857,387.5,17.38
151,DOLLAR,2021,8,409.1531818181818,410.15318181818185,391.5,17.01
152,DOLLAR,2021,9,409.47136363636366,410.5622727272728,396.0,16.63
153,DOLLAR,2021,10,409.9126315789474,410.9126315789474,399.9,15.99
154,DOLLAR,2021,11,410.12523809523805,411.4585714285714,404.2,15.4
155,DOLLAR,2021,12,410.3233333333334,411.942380952381,411.5,15.63
156,DOLLAR,2022,1,414.0652631578947,415.1178947368421,417.6,15.6
157,DOLLAR,2022,2,415.649,416.649,424.4,15.7
158,DOLLAR,2022,3,415.3273913043478,416.3273913043478,431.8,15.92
159,DOLLAR,2022,4,414.77,416.03315789473686,439.4,16.82
160,DOLLAR,2022,5,414.450165,415.700165,447.2,17.71
161,DOLLAR,2022,6,414.38190476190476,415.66761904761904,455.4,18.6
162,DOLLAR,2022,7,414.28588235294114,415.9329411764706,463.6,19.64
163,DOLLAR,2022,8,419.42727272727274,420.5395454545454,471.8,20.52
164,DOLLAR,2022,9,428.20190476190476,429.29714285714283,478.2,20.77
165,DOLLAR,2022,10,435.6155555555555,436.6155555555555,484.2,21.09
166,DOLLAR,2022,11,441.3792727272727,442.3792727272727,490.9,21.47
167,DOLLAR,2022,12,445.4705000000001,446.4705000000001,499.4,21.34
168,DOLLAR,2023,1,454.7434999999999,455.79349999999994,508.7,21.82
169,DOLLAR,2023,2,459.9010000000001,460.95100000000014,517.4,21.91
170,DOLLAR,2023,3,459.93136363636364,460.93136363636364,527.0,22.04
171,DOLLAR,2023,4,508.2503333333334,509.2503333333334,537.0,22.22
172,DOLLAR,2023,5,460.209,461.209,547.5,22.41
173,DOLLAR,2023,6,615.2768421052632,616.2768421052632,559.1,22.79
174,DOLLAR,2023,7,769.79335,770.79335,575.3,24.08
175,DOLLAR,2023,8,795.746,796.746,593.6,25.8
176,DOLLAR,2023,9,760.8271578947367,761.8271578947367,606.0,26.72
177,DOLLAR,2023,10,794.53855,795.53855,616.5,27.33
